DATE,TIME,MODEL CODE,TYPE,BARCODE,SERIAL No.,PASS/NG,50Hz WATTAGE,50Hz WATTAGE FLUCTUATED,50Hz AIR VOLUME,50Hz AIR VOLUME FLUCTUATED,50Hz CLOSED PRESSURE,50Hz CLOSED PRESSURE FLUCTUATED,50Hz AMPERAGE,50Hz AMPERAGE FLUCTUATED,60Hz WATTAGE,60Hz WATTAGE FLUCTUATED,60Hz AIR VOLUME,60Hz AIR VOLUME FLUCTUATED,60Hz CLOSED PRESSURE,60Hz CLOSED PRESSURE FLUCTUATED,60Hz AMPERAGE,60Hz AMPERAGE FLUCTUATED
24/07/2025,16:51:20,200HP4300P,N,,250700031,1,194.0,6.0,187.0,4.0,54.8,2.0999999999999943,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24/07/2025,17:00:41,120LL2400P,N,,725007371,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,94.1,114.0,114.0,41.7,41.7,0.939,0.939
24/07/2025,17:01:50,120LL2400P,N,,725007372,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3,1.7999999999999972,112.0,2.0,41.1,0.6000000000000014,0.921,0.017999999999999905
24/07/2025,17:03:19,120LL2400P,N,,725007373,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1,2.799999999999997,114.0,2.0,41.6,0.5,0.953,0.03199999999999992
24/07/2025,17:06:35,120LL2400P,N,,725007374,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,1.8999999999999915,113.0,1.0,40.9,0.7000000000000028,0.925,0.027999999999999914
24/07/2025,17:08:23,120LL2400P,N,,725007375,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.20000000000000284,113.0,0.0,41.1,0.20000000000000284,0.92,0.0050000000000000044
24/07/2025,17:13:37,120LL2400P,N,,725007376,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,0.5,113.0,0.0,42.4,1.2999999999999972,0.94,0.019999999999999907
24/07/2025,17:15:32,120LL2400P,N,,725007377,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,0.7000000000000028,113.0,0.0,41.7,0.6999999999999957,0.942,0.0020000000000000018
24/07/2025,17:16:31,120LL2400P,N,,725007378,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.7,0.5,113.0,0.0,41.5,0.20000000000000284,0.93,0.0119999999999999
24/07/2025,17:18:21,120LL2400P,N,,725007379,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2,1.5,114.0,1.0,42.8,1.2999999999999972,0.951,0.020999999999999908
24/07/2025,17:19:33,120LL2400P,N,,725007380,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,1.7000000000000028,113.0,1.0,42.6,0.19999999999999574,0.936,0.014999999999999902
24/07/2025,17:24:26,120LL2400P,N,,725007381,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,1.2999999999999972,114.0,1.0,42.1,0.5,0.944,0.007999999999999896
24/07/2025,17:25:28,120LL2400P,N,,725007382,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.20000000000000284,114.0,0.0,42.8,0.6999999999999957,0.944,0.0
24/07/2025,17:26:25,120LL2400P,N,,725007383,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6,1.4000000000000057,113.0,1.0,41.2,1.5999999999999943,0.936,0.007999999999999896
24/07/2025,17:30:01,120LL2400P,N,,725007384,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8,0.20000000000000284,113.0,0.0,41.3,0.09999999999999432,0.935,0.0010000000000000009
24/07/2025,17:31:10,120LL2400P,N,,725007385,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8,0.0,113.0,0.0,41.6,0.30000000000000426,0.93,0.0050000000000000044
24/07/2025,17:32:46,120LL2400P,N,,725007386,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,0.29999999999999716,113.0,0.0,41.6,0.0,0.935,0.0050000000000000044
24/07/2025,17:34:07,120LL2400P,N,,725007387,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,0.7000000000000028,114.0,1.0,42.2,0.6000000000000014,0.94,0.004999999999999893
